English,Romanian
you,tu
I,I
to,la
a,A
and,și
that,acea
it,aceasta
of,de
me,pe mine
what,ce
is,este
in,în
this,acest
know,cunoaște
I'm,Sunt
for,pentru
no,Nu
have,avea
my,Ale mele
don't,Nu
just,doar
not,nu
do,do
be,fi
on,pe
your,ta
was,a fost
we,noi
it's,este
with,cu
so,asa de
but,dar
all,toate
well,bine
are,sunteți
he,el
oh,Oh
about,despre
right,dreapta
you're,ești
get,obține
here,Aici
out,afară
going,mergând
like,ca
yeah,Da
if,dacă
her,a ei
she,ea
can,poate sa
up,sus
want,vrei
think,gândi
that's,asta este
now,acum
go,merge
at,la
how,Cum
got,a primit
there,Acolo
one,unu
did,făcut
why,De ce
see,vedea
come,vino
good,bun
they,ei
really,într-adevăr
as,la fel de
would,ar
look,uite
when,când
time,timp
will,voi
okay,bine
back,înapoi
can't,Nu pot
mean,Rău
tell,spune
from,din
hey,Hei
were,au fost
he's,El este
could,ar putea
didn't,nu
yes,da
his,a lui
been,a fost
or,sau
something,ceva
who,cine
because,deoarece
some,niste
had,a avut
then,apoi
say,spune
take,lua
an,un
way,cale
us,ne
little,puțin
make,face
need,nevoie
gonna,Gonna
never,nu
we're,suntem
too,de asemenea
love,dragoste
she's,ea e
I've,eu am
sure,sigur
them,lor
more,mai mult
over,peste
our,al nostru
sorry,Îmi pare rău
where,unde
what's,ceea ce este
let,lăsa
thing,lucru
am,a.m
maybe,poate
down,jos
man,om
has,are
uh,uh
very,foarte
by,de
there's,exista
should,ar trebui să
anything,orice
said,spus
much,mult
any,orice
life,viaţă
even,chiar
please,va rog
doing,face
thank,mulțumesc
give,da
only,numai
thought,gând
help,ajutor
two,două
talk,vorbi
people,oameni
god,dumnezeu
still,încă
wait,aștepta
into,în
find,găsi
nothing,nimic
again,din nou
things,lucruri
let's,Hai
doesn't,nu
call,apel
told,spus
great,grozav
before,inainte de
better,mai bine
ever,vreodată
night,noapte
than,decât
away,departe
first,primul
believe,crede
other,alte
feel,simți
everything,tot
work,muncă
you've,tu
fine,amenda
home,Acasă
after,după
last,ultimul
these,aceste
day,zi
keep,a pastra
does,face
put,a pune
around,în jurul
stop,stop
they're,Sunt
I'd,Aș fi
guy,tip
long,lung
isn't,nu este
always,mereu
listen,asculta
wanted,dorit
Mr.,Domnul.
guys,baieti
those,acestea
big,mare
lot,lot
happened,s-a întâmplat
thanks,mulțumiri
won't,nu
trying,încercând
kind,drăguț
wrong,gresit
through,prin
talking,vorbind
made,făcut
new,nou
being,fiind
guess,ghici
hi,Bună
care,îngrijire
bad,rău
mom,mama
remember,tine minte
getting,obținerea
we'll,bine
together,împreună
dad,tata
leave,părăsi
mother,mamă
place,loc
understand,a intelege
wouldn't,nu ar fi
actually,de fapt
hear,auzi
baby,bebelus
nice,grozav
father,Tată
else,altfel
stay,stau
done,terminat
wasn't,nu a fost
their,al lor
course,curs
might,ar putea
mind,minte
every,fiecare
enough,suficient
try,încerca
hell,iad
came,a venit
someone,cineva
you'll,vei
own,propriu
family,familie
whole,întreg
another,o alta
house,casă
yourself,tu
idea,idee
ask,cere
best,Cel mai bun
must,trebuie sa
coming,venire
old,vechi
looking,in cautarea
woman,femeie
